ATC	MEGNEV	ANGOL	HATOANYAG	KIHIRDETES_ID
"B05XB02"	"alanyl glutamine"	"alanyl glutamine"	"alanyl glutamine"	1001
"B05XB03"	"lysine"	"lysine"	"lysine"	1001
"B05XC"	"vitaminok"	"vitamins"		1001
"B05XC18"	"multivitamin"		"multivitamin"	1001
"B05XC19"	"vitaminok, k.m.n. (2)"		"vitaminok, k.m.n. (2)"	1001
"B05XC20"	"vitaminok"		"vitaminok, k.m.n. (3)"	1001
"B05XX"	"egyéb infúziós adalékok"	"other i.v. solution additives"		1001
"B05XX02"	"trometamol"	"trometamol"	"trometamol"	1001
"B05Z"	"hemodializáló oldatok és hemofiltrátumok"	"hemodialytics and hemofiltrates"		1001
"B05ZA"	"koncentrált hemodializáló oldatok"	"hemodialytics, concentrates"		1001
"B05ZB"	"hemofiltratumok"	"hemofiltrates"		1001
"B06"	"egyéb hematológiai szerek"	"other hematological agents"		1001
"B06A"	"egyéb hematológiai szerek"	"other hematological agents"		1001
"B06AA"	"enzimek"	"enzymes"		1001
"B06AA02"	"fibrinolysin and desoxyribonuclease"	"fibrinolysin and desoxyribonuclease"	"fibrinolysin and desoxyribonuclease"	1001
"B06AA03"	"hyaluronidáz"	"hyaluronidase"	"hyaluronidáz"	1001
"B06AA04"	"chymotrypsin"	"chymotrypsin"	"chymotrypsin"	1001
"B06AA07"	"trypsin"	"trypsin"	"trypsin"	1001
"B06AA10"	"desoxyribonuclease"	"desoxyribonuclease"	"desoxyribonuclease"	1001
"B06AA11"	"bromelains"	"bromelains"	"bromelains"	1001
"B06AA55"	"streptokinase, combinations"	"streptokinase, combinations"	"streptokinase, combinations"	1001
"B06AB"	"egyéb hematológiai készítmények"	"other hem products"		1001
"B06AB01"	"pentozán-poliszulfát"	"hematin"	"pentozán-poliszulfát"	1001
"B06AC"	"Örökletes angiooedema gyógyszerei"			1001
"B06AC01"	"c1-inhibitor-"	"c1-inhibitor-"	"c1-inhibitor-"	1001
"B06AC02"	"icatibant"	"icatibant"	"icatibant-"	1001
"B06AC04"	"conestat alfa"	"conestat alfa"	"conestat alfa"	1001
"C"	"kardiovaszkuláris rendszer"	"cardiovascular system"		1001
"C01"	"szívre ható szerek"	"cardiac therapy"		1001
"C01A"	"szívglikozidok"	"cardiac glycosides"		1001
"C01AA"	"digitalis glikozidok"	"digitalis glycosides"		1001
"C01AA01"	"acetyldigitoxin"	"acetyldigitoxin"	"acetyldigitoxin"	1001
"C01AA02"	"acetyldigoxin"	"acetyldigoxin"	"acetyldigoxin"	1001
"C01AA03"	"digitalis leaves"	"digitalis leaves"	"digitalis leaves"	1001
"C01AA04"	"digitoxin"	"digitoxin"	"digitoxin"	1001
"C01AA05"	"digoxin"	"digoxin"	"digoxin"	1001
"C01AA06"	"lanatoside c"	"lanatoside c"	"lanatoside c"	1001
"C01AA07"	"deslanozid"	"deslanoside"	"deslanozid"	1001
"C01AA08"	"metildigoxin"	"metildigoxin"	"metildigoxin"	1001
"C01AA09"	"gitoformate"	"gitoformate"	"gitoformate"	1001
"C01AA52"	"acetyldigoxin, combinations"	"acetyldigoxin, combinations"	"acetyldigoxin, combinations"	1001
"C01AB"	"scilla glikozidok"	"scilla glycosides"		1001
"C01AB01"	"proscillaridin"	"proscillaridin"	"proscillaridin"	1001
"C01AB51"	"proscillaridin, combinations"	"proscillaridin, combinations"	"proscillaridin, combinations"	1001
"C01AC"	"strophantus glikozidok"	"strophantus glycosides"		1001
"C01AC01"	"g-strophanthin"	"g-strophanthin"	"g-strophanthin"	1001
"C01AC03"	"cymarin"	"cymarin"	"cymarin"	1001
"C01AX"	"egyéb szívglikozidok"	"other cardiac glycosides"		1001
"C01AX02"	"peruvoside"	"peruvoside"	"peruvoside"	1001
"C01B"	"antiarritmiás szerek i. és iii. csoport"	"antiarrhythmics, class i and iii"		1001
"C01BA"	"antiarritmiás szerek i.a. csoport"	"antiarrhythmics, class ia"		1001
"C01BA01"	"kinidin"	"quinidine"	"kinidin"	1001
"C01BA02"	"procainamide"	"procainamide"	"procainamide"	1001
"C01BA03"	"disopiramid"	"disopyramide"	"disopiramid"	1001
"C01BA04"	"sparteine"	"sparteine"	"sparteine"	1001
"C01BA05"	"ajmalin"	"ajmaline"	"ajmalin"	1001
"C01BA08"	"prajmalin"	"prajmaline"	"prajmalin"	1001
"C01BA12"	"lorajmine"	"lorajmine"	"lorajmine"	1001
"C01BA51"	"quinidine, combinations excl. psycholeptics"	"quinidine, combinations excl. psycholeptics"	"quinidine, combinations excl. psycholeptics"	1001
"C01BA71"	"quinidine, combinations with psycholeptics"	"quinidine, combinations with psycholeptics"	"quinidine, combinations with psycholeptics"	1001
"C01BB"	"antiarritmiás szerek i.b. csoport"	"antiarrhythmics, class ib"		1001
"C01BB01"	"lidokain"	"lidocaine"	"lidokain"	1001
"C01BB02"	"mexiletin"	"mexiletine"	"mexiletin"	1001
"C01BB03"	"tocainide"	"tocainide"	"tocainide"	1001
"C01BB04"	"aprindine"	"aprindine"	"aprindine"	1001
"C01BC"	"antiarritmiás szerek i.c. csoport"	"antiarrhythmics, class ic"		1001
"C01BC03"	"propafenon"	"propafenone"	"propafenon"	1001
"C01BC04"	"flecainide"	"flecainide"	"flecainide"	1001
"C01BC07"	"lorcainide"	"lorcainide"	"lorcainide"	1001
"C01BC08"	"encainide"	"encainide"	"encainide"	1001
"C01BD"	"antiarritmiás szerek iii. csoport"	"antiarrhythmics, class iii"		1001
"C01BD01"	"amiodaron"	"amiodarone"	"amiodaron"	1001
"C01BD02"	"bretilium-tozilát"	"bretylium tosilate"	"bretilium-tozilát"	1001
"C01BD03"	"bunaftine"	"bunaftine"	"bunaftine"	1001
"C01BD04"	"dofetilide"	"dofetilide"	"dofetilide"	1001
"C01BD05"	"ibutilide"	"ibutilide"	"ibutilide"	1001
"C01BD07"	"dronedarone"	"dronedarone"	"dronedarone"	1001
"C01BG"	"other class i antiarrhythmics"	"other class i antiarrhythmics"		1001
"C01BG01"	"moracizine"	"moracizine"	"moracizine"	1001
"C01BG07"	"cibenzoline"	"cibenzoline"	"cibenzoline"	1001
"C01BG11"	"vernakalant"	"vernakalant"	"vernakalant"	1001
"C01C"	"kardiális stimulánsok, kivéve a szívglikozidok"	"cardiac stimulants excl. cardiac glycosides"		1001
"C01CA"	"adrenerg és dopaminerg készítmények"	"adrenergic and dopaminergic agents"		1001
"C01CA01"	"etilefrine"	"etilefrine"	"etilefrine"	1001
"C01CA02"	"izoprenalin"	"isoprenaline"	"isoprenalin"	1001
"C01CA03"	"norepinephrine"	"norepinephrine"	"norepinephrine"	1001
"C01CA04"	"dopamin"	"dopamine"	"dopamin"	1001
"C01CA05"	"norfenefrine"	"norfenefrine"	"norfenefrine"	1001
"C01CA06"	"phenylephrine"	"phenylephrine"	"phenylephrine"	1001
"C01CA07"	"dobutamin"	"dobutamine"	"dobutamin"	1001
"C01CA08"	"oxedrin"	"oxedrine"	"oxedrin"	1001
"C01CA09"	"metaraminol"	"metaraminol"	"metaraminol"	1001
"C01CA10"	"methoxamine"	"methoxamine"	"methoxamine"	1001
"C01CA11"	"mephentermine"	"mephentermine"	"mephentermine"	1001
"C01CA12"	"dimetofrine"	"dimetofrine"	"dimetofrine"	1001
"C01CA13"	"prenalterol"	"prenalterol"	"prenalterol"	1001
"C01CA14"	"dopexamine"	"dopexamine"	"dopexamine"	1001
"C01CA15"	"gepefrine"	"gepefrine"	"gepefrine"	1001
"C01CA16"	"ibopamine"	"ibopamine"	"ibopamine"	1001
"C01CA17"	"midodrin"	"midodrine"	"midodrin"	1001
"C01CA18"	"octopamine"	"octopamine"	"octopamine"	1001
"C01CA19"	"fenoldopam"	"fenoldopam"	"fenoldopam"	1001
"C01CA21"	"cafedrine"	"cafedrine"	"cafedrine"	1001
"C01CA22"	"arbutamine"	"arbutamine"	"arbutamine"	1001
"C01CA23"	"theodrenaline"	"theodrenaline"	"theodrenaline"	1001
"C01CA24"	"epinefrin"	"epinephrine"	"epinefrin"	1001
"C01CA29"	"foledrin"		"foledrin"	1001
"C01CA30"	"combinations"	"combinations"	"combinations"	1001
"C01CA51"	"etilefrine, combinations"	"etilefrine, combinations"	"etilefrine, combinations"	1001
"C01CB"	"efedrin származékok"			1001
"C01CC"	"légzésstimulálók"			1001
"C01CD"	"fenoxipropanol származékok"			1001
"C01CE"	"foszfodiészteráz enzim inhibítorok"	"phosphodiesterase inhibitors"		1001
"C01CE01"	"amrinon"	"amrinone"	"amrinon"	1001
"C01CE02"	"milrinone"	"milrinone"	"milrinon"	1001
"C01CE03"	"enoximone"	"enoximone"	"enoximone"	1001
"C01CE04"	"bucladesine"	"bucladesine"	"bucladesine"	1001
"C01CX"	"egyéb kardiális stimulánsok"	"other cardiac stimulants"		1001
"C01CX06"	"angiotensinamide"	"angiotensinamide"	"angiotensinamide"	1001
"C01CX07"	"xamoterol"	"xamoterol"	"xamoterol"	1001
"C01CX08"	"levosimendan"	"levosimendan"	"levosimendan"	1001
"C01D"	"szívbetegségekben alkalmazott értágítók"	"vasodilators used in cardiac diseases"		1001
"C01DA"	"szerves nitrátok"	"organic nitrates"		1001
"C01DA02"	"glicerin-trinitrát"	"glyceryl trinitrate"	"gliceril-trinitrát"	1001
"C01DA04"	"methylpropylpropanediol dinitrate"	"methylpropylpropanediol dinitrate"	"methylpropylpropanediol dinitrate"	1001
"C01DA05"	"pentaeritril-tetranitrát"	"pentaerithrityl tetranitrate"	"pentaeritritil-tetranitrát"	1001
"C01DA07"	"propatylnitrate"	"propatylnitrate"	"propatylnitrate"	1001
"C01DA08"	"izoszorbid-dinitrát"	"isosorbide dinitrate"	"isosorbid-dinitrát"	1001
"C01DA09"	"trolnitrate"	"trolnitrate"	"trolnitrate"	1001
"C01DA13"	"eritrityl tetranitrate"	"eritrityl tetranitrate"	"eritrityl tetranitrate"	1001
"C01DA14"	"izoszorbid-mononitrát"	"isosorbide mononitrate"	"isosorbide mononitrate"	1001
"C01DA18"				1001
"C01DA20"	"organic nitrates in combination"	"organic nitrates in combination"	"organic nitrates in combination"	1001
"C01DA38"	"tenitramine"	"tenitramine"	"tenitramine"	1001
"C01DA52"	"glyceryl trinitrate, combinations"	"glyceryl trinitrate, combinations"	"glyceryl trinitrate, combinations"	1001
"C01DA54"	"methylpropylpropanediol dinitrate, combinations"	"methylpropylpropanediol dinitrate, combinations"	"methylpropylpropanediol dinitrate, combinations"	1001
"C01DA55"	"pentaerithrityl tetranitrate, combinations"	"pentaerithrityl tetranitrate, combinations"	"pentaerithrityl tetranitrate, combinations"	1001
"C01DA57"	"propatylnitrate, combinations"	"propatylnitrate, combinations"	"propatylnitrate, combinations"	1001
"C01DA58"	"isosorbide dinitrate, combinations"	"isosorbide dinitrate, combinations"	"isosorbide dinitrate, combinations"	1001
"C01DA59"	"trolnitrate, combinations"	"trolnitrate, combinations"	"trolnitrate, combinations"	1001
"C01DA63"	"eritrityl tetranitrate, combinations"	"eritrityl tetranitrate, combinations"	"eritrityl tetranitrate, combinations"	1001
"C01DA70"	"organic nitrates in combination with psycholeptics"	"organic nitrates in combination with psycholeptics"	"organic nitrates in combination with psycholeptics"	1001
"C01DB"	"quinolon értágítók"	"quinolone vasodilators"		1001
"C01DB01"	"flosequinan"	"flosequinan"	"flosequinan"	1001
"C01DX"	"szívbetegségekben alkalmazott egyéb értágítók"	"other vasodilators used in cardiac diseases"		1001
"C01DX01"	"itramin tosilate"	"itramin tosilate"	"itramin tosilate"	1001
"C01DX02"	"prenylamine"	"prenylamine"	"prenylamine"	1001
"C01DX03"	"oxyfedrine"	"oxyfedrine"	"oxyfedrine"	1001
"C01DX04"	"benziodarone"	"benziodarone"	"benziodarone"	1001
"C01DX05"	"carbocromen"	"carbocromen"	"carbocromen"	1001
"C01DX06"	"hexobendine"	"hexobendine"	"hexobendine"	1001
"C01DX07"	"etafenone"	"etafenone"	"etafenone"	1001
"C01DX08"	"heptaminol"	"heptaminol"	"heptaminol"	1001
"C01DX09"	"imolamine"	"imolamine"	"imolamine"	1001
"C01DX10"	"dilazep"	"dilazep"	"dilazep"	1001
"C01DX11"	"trapidil"	"trapidil"	"trapidil"	1001
"C01DX12"	"molsidomin"	"molsidomine"	"molsidomin"	1001
"C01DX13"	"efloxate"	"efloxate"	"efloxate"	1001
"C01DX14"	"cinepazet"	"cinepazet"	"cinepazet"	1001
"C01DX15"	"cloridarol"	"cloridarol"	"cloridarol"	1001
"C01DX16"	"nicorandil"	"nicorandil"	"nicorandil"	1001
"C01DX17"	"trimetazidin"		"trimetazidin"	1001
"C01DX18"	"linsidomine"	"linsidomine"	"linsidomine"	1001
"C01DX19"	"nesiritide"	"nesiritide"	"nesiritide"	1001
"C01DX21"				1001
"C01DX51"	"itramin tosilate, combinations"	"itramin tosilate, combinations"	"itramin tosilate, combinations"	1001
"C01DX52"	"prenylamine, combinations"	"prenylamine, combinations"	"prenylamine, combinations"	1001
"C01DX53"	"oxyfedrine, combinations"	"oxyfedrine, combinations"	"oxyfedrine, combinations"	1001
"C01DX54"	"benziodarone, combinations"	"benziodarone, combinations"	"benziodarone, combinations"	1001
"C01E"	"egyéb szívszerek"	"other cardiac preparations"		1001
"C01EA"	"prosztaglandinok"	"prostaglandins"		1001
"C01EA01"	"alprostadil"	"alprostadil"	"alprostadil"	1001
"C01EB"	"egyéb szívszerek"	"other cardiac preparations"		1001
"C01EB02"	"camphora"	"camphora"	"camphora"	1001
"C01EB03"	"indometacin"	"indometacin"	"indometacin"	1001
"C01EB04"	"crataegus glycosides"	"crataegus glycosides"	"crataegus glycosides"	1001
"C01EB05"	"creatinolfosfate"	"creatinolfosfate"	"creatinolfosfate"	1001
"C01EB06"	"fosfocreatine"	"fosfocreatine"	"fosfocreatine"	1001
"C01EB07"	"fructose 1,6-diphosphate"	"fructose 1,6-diphosphate"	"fructose 1,6-diphosphate"	1001
"C01EB09"	"ubidecarenone"	"ubidecarenone"	"ubidecarenone"	1001
"C01EB10"	"adenozin"	"adenosine"	"adenosin"	1001
"C01EB11"	"tiracizine"	"tiracizine"	"tiracizine"	1001
"C01EB12"	"tedisamil"	"tedisamil"	"tedisamil"	1001
"C01EB13"	"acadesine"	"acadesine"	"acadesine"	1001
"C01EB15"	"trimetazidine"	"trimetazidine"	"trimetazidin"	1001
"C01EB16"	"ibuprofen"	"ibuprofen"	"ibuprofen"	1001
"C01EB17"	"ivabradine"	"ivabradine"	"ivabradine"	1001
"C01EB18"	"ranolazine"	"ranolazine"	"ranolazine"	1001
"C01EB19"	"ipratropii bromidum"		"ipratropii bromidum"	1001
"C01EX"	"egyéb kombinált szívszerek"	"other cardiac combination products"		1001
"C02"	"vérnyomáscsökkentõk"	"antihypertensives"		1001
"C02A"	"központi hatású antiadrenerg szerek"	"antiadrenergic agents, centrally acting"		1001
"C02AA"	"rauwolfia alkaloidok"	"rauwolfia alkaloids"		1001
"C02AA01"	"rescinnamine"	"rescinnamine"	"rescinnamine"	1001
"C02AA02"	"reserpine"	"reserpine"	"reserpine"	1001
"C02AA03"	"combinations of rauwolfia alkaloids"	"combinations of rauwolfia alkaloids"	"combinations of rauwolfia alkaloids"	1001
"C02AA04"	"rauwolfia alkaloids, whole root"	"rauwolfia alkaloids, whole root"	"rauwolfia alkaloids, whole root"	1001
"C02AA05"	"deserpidine"	"deserpidine"	"deserpidine"	1001
"C02AA06"	"methoserpidine"	"methoserpidine"	"methoserpidine"	1001
"C02AA07"	"bietaserpine"	"bietaserpine"	"bietaserpine"	1001
"C02AA52"	"reserpine, combinations"	"reserpine, combinations"	"reserpine, combinations"	1001
"C02AA53"	"combinations of rauwolfia alkoloids, combinations"	"combinations of rauwolfia alkoloids, combinations"	"combinations of rauwolfia alkoloids, combinations"	1001
"C02AA57"	"bietaserpine, combinations"	"bietaserpine, combinations"	"bietaserpine, combinations"	1001
"C02AB"	"methyldopa"	"methyldopa"		1001
"C02AB01"	"metildopa"	"methyldopa (levorotatory)"	"metildopa"	1001
"C02AB02"	"methyldopa (racemic)"	"methyldopa (racemic)"	"methyldopa (racemic)"	1001
"C02AC"	"imidazolin receptor antagonisták"	"imidazoline receptor agonists"		1001
"C02AC01"	"clonidine"	"clonidine"	"clonidine"	1001
"C02AC02"	"guanfacin"	"guanfacine"	"guanfacin"	1001
"C02AC04"	"tolonidine"	"tolonidine"	"tolonidine"	1001
"C02AC05"	"moxonidin"	"moxonidine"	"moxonidin"	1001
"C02AC06"	"rilmenidine"	"rilmenidine"	"rilmenidin"	1001
"C02B"	"antiadrenerg szerek, ganglion blokkolók"	"antiadrenergic agents, ganglion-blocking"		1001
"C02BA"	"sulfonium származékok"	"sulfonium derivatives"		1001
"C02BA01"	"trimetaphan"	"trimetaphan"	"trimetaphan"	1001
"C02BB"	"szekunder és tercier aminok"	"secondary and tertiary amines"		1001
"C02BB01"	"mecamylamine"	"mecamylamine"	"mecamylamine"	1001
"C02BC"	"biszkvaterner ammónium-vegyületek"	"bisquaternary ammonium compounds"		1001
"C02C"	"perifériás hatású antiadrenerg szerek"	"antiadrenergic agents, peripherally acting"		1001
"C02CA"	"alfa-adrenerg receptor blokkolók"	"alpha-adrenoreceptor antagonists"		1001
"C02CA01"	"prazozin"	"prazosin"	"prazosin"	1001
"C02CA02"	"indoramin"	"indoramin"	"indoramin"	1001
"C02CA03"	"trimazosin"	"trimazosin"	"trimazosin"	1001
"C02CA04"	"doxazozin"	"doxazosin"	"doxazosin"	1001
"C02CA05"	"terazozin"		"terazozin"	1001
"C02CA06"	"urapidil"	"urapidil"	"urapidil"	1001
"C02CB"	"alfa- és béta-adrenerg receptor blokkolók"			1001
"C02CC"	"guanidin származékok"	"guanidine derivatives"		1001
"C02CC01"	"betanidine"	"betanidine"	"betanidine"	1001
"C02CC02"	"guanethidine"	"guanethidine"	"guanethidine"	1001
"C02CC03"	"guanoxan"	"guanoxan"	"guanoxan"	1001
"C02CC04"	"debrizoquin"	"debrisoquine"	"debrizoquin"	1001
"C02CC05"	"guanoclor"	"guanoclor"	"guanoclor"	1001
"C02CC06"	"guanazodine"	"guanazodine"	"guanazodine"	1001
"C02CC07"	"guanoxabenz"	"guanoxabenz"	"guanoxabenz"	1001
"C02D"	"arteriolák simaizomzatára ható szerek"	"arteriolar smooth muscle, agents acting on"		1001
"C02DA"	"thiazid származékok"	"thiazide derivatives"		1001
"C02DA01"	"diazoxide"	"diazoxide"	"diazoxide"	1001
"C02DA06"				1001
"C02DB"	"hydrazino-phtalazin származékok"	"hydrazinophthalazine derivatives"		1001
"C02DB01"	"dihidralazin"	"dihydralazine"	"dihydralazin"	1001
"C02DB02"	"hydralazine"	"hydralazine"	"hydralazine"	1001
"C02DB03"	"endralazine"	"endralazine"	"endralazine"	1001
"C02DB04"	"cadralazine"	"cadralazine"	"cadralazine"	1001
"C02DC"	"pyrimidin származékok"	"pyrimidine derivatives"		1001
"C02DC01"	"minoxidil"	"minoxidil"	"minoxidil"	1001
"C02DD"	"nitroferricyanid származékok"	"nitroferricyanide derivatives"		1001
"C02DD01"	"nitroprusside"	"nitroprusside"	"nitroprusside"	1001
"C02DE"	"kalcium-antagonisták"			1001
"C02DE03"	"nimodipin"		"nimodipin"	1001
"C02DE13"				1001
"C02DF"	"nem-tiazid származékok"			1001
"C02DG"	"guanidin származékok"	"guanidine derivatives"		1001
"C02DG01"	"pinacidil"	"pinacidil"	"pinacidil"	1001
"C02E"	"a renin-angiotensin rendszerre ható készítmények"			1001
"C02EA"	"angiotenzin-konvertáló enzimet blokkolók (ace-gátlók)"			1001
"C02K"	"egyéb vérnyomáscsökkentõk"	"other antihypertensives"		1001
"C02KA"	"alkaloidák, rauwolfia kivételével"	"alkaloids, excl. rauwolfia"		1001
"C02KA01"	"veratrum"	"veratrum"	"veratrum"	1001
"C02KB"	"tyrosin hidroxiláz inhibítorok"	"tyrosine hydroxylase inhibitors"		1001
"C02KB01"	"metirosine"	"metirosine"	"metirosine"	1001
"C02KC"	"mono-amino-oxidáz gátlók (mao inhibítorok)"	"mao inhibitors"		1001
"C02KC01"	"pargyline"	"pargyline"	"pargyline"	1001
"C02KD"	"szerotonin antagonisták"	"serotonin antagonists"		1001
"C02KD01"	"ketanserin"	"ketanserin"	"ketanserin"	1001
"C02KX"	"Egyéb antihypertensivumok"			1001
"C02KX01"	"bosentan"		"bosentan"	1001
"C02KX02"	"ambrisentan"	"ambrisentan"	"ambrisentan"	1001
"C02KX03"	"sitaxentan"	"sitaxentan"	"sitaxentan"	1001
"C02KX04"	"macitentan"	"macitentan"	"macitentan"	1001
"C02KX05"	"riociguat"	"riociguat"	"riociguat"	1001
"C02L"	"vérnyomáscsökkentõk és vizelethajtók kombinációi"	"antihypertensives and diuretics in combination"		1001
"C02LA"	"rauwolfia alkaloidák és vizelethajtók kombinációi"	"rauwolfia alkaloids and diuretics in combination"		1001
"C02LA01"	"rezerpin - diuretikum kombinációk"	"reserpine and diuretics"	"rezerpin - diuretikum kombinációk"	1001
"A09AA03"	"pepsin"	"pepsin"	"pepsin"	1001
"A09AA04"	"tilactase"	"tilactase"	"tilactáz"	1001
"A09AA19"	"ß-galaktozidáz"		"ß-galaktozidáz"	1001
"A09AA22"	"pancreatin+"		"pancreatin+"	1001
"A09AA52"	"multienzim készítmények egyéb kombinációkban"		"multienzim készítmények egyéb kombinációkban"	1001
"A09AB"	"savkészítmények"	"acid preparations"		1001
"A09AB01"	"glutamic acid hydrochloride"	"glutamic acid hydrochloride"	"glutamic acid hydrochloride"	1001
"A09AB02"	"betaine hydrochloride"	"betaine hydrochloride"	"betaine hydrochloride"	1001
"A09AB03"	"hydrochloric acid"	"hydrochloric acid"	"hydrochloric acid"	1001
"A09AB04"	"citric acid"	"citric acid"	"citric acid"	1001
"A09AC"	"enzim- és savkészítmények kombinációi"	"enzyme and acid preparations, combinations"		1001
"A09AC01"	"pepszin és savkészitmények"	"pepsin and acid preparations"	"pepszin és savkészitmények"	1001
"A09AC02"	"multienzimek és savkészítmények"		"multienzimek és savkészítmények"	1001
"A10"	"antidiabetikus terápia"	"drugs used in diabetes"		1001
"A10A"	"inzulinok"	"insulins and analogues"		1001
"A10AA"	"inzulinok, k.m.n."			1001
"A10AA01"				1001
"A10AA02"	"insulin"		"insulin"	1001
"A10AA04"				1001
"A10AB"	"gyors hatású inzulinok"	"insulins and analogues, fast-acting"		1001
"A10AB01"	"humán inzulin"	"insulin (human)"	"insulin (human)"	1001
"A10AB02"	"insulin (beef)"	"insulin (beef)"	"insulin (beef)"	1001
"A10AB03"	"insulin (pork)"	"insulin (pork)"	"insulin (pork)"	1001
"A10AB04"	"lispro inzulin"	"insulin lispro"	"insulin lispro"	1001
"A10AB05"	"insulin aspart"	"insulin aspart"	"insulin aspart"	1001
"A10AB06"	"insulin glulisin"		"insulin glulisin"	1001
"A10AB30"	"combinations"	"combinations"	"combinations"	1001
"A10AC"	"intermedier hatástartalmú inzulinok"	"insulins and analogues, intermediate-acting"		1001
"A10AC01"	"humán inzulin"	"insulin (human)"	"insulin (human)"	1001
"A10AC02"	"insulin (beef)"	"insulin (beef)"	"insulin (beef)"	1001
"A10AC03"	"sertés inzulin"	"insulin (pork)"	"insulin (pork)"	1001
"A10AC04"	"insulin lispro"	"insulin lispro"	"insulin lispro"	1001
"A10AC30"	"inzulin kombinációk"	"combinations"	"inzulin kombinációk"	1001
"A10AD"	"intermedier hatástartamú inzulinok gyors hatáskezdettel"	"insulins and analogues, intermediate-acting combined with fast-acting"		1001
"A10AD01"	"humán inzulin"	"insulin (human)"	"insulin (human)"	1001
"A10AD02"	"insulin (beef)"	"insulin (beef)"	"insulin (beef)"	1001
"A10AD03"	"insulin (pork)"	"insulin (pork)"	"insulin (pork)"	1001
"A10AD04"	"insulin lispro"	"insulin lispro"	"insulin lispro"	1001
"A10AD05"	"insulin aspart"		"insulin aspart"	1001
"A10AD30"	"combinations"	"combinations"	"combinations"	1001
"A10AE"	"hosszú hatástartamú inzulinok"	"insulins and analogues, long-acting"		1001
"A10AE01"	"humán inzulin"	"insulin (human)"	"insulin (human)"	1001
"A10AE02"	"insulin (beef)"	"insulin (beef)"	"insulin (beef)"	1001
"A10AE03"	"insulin (pork)"	"insulin (pork)"	"insulin (pork)"	1001
"A10AE04"	"insulin glargine"	"insulin glargine"	"insulin glargine"	1001
"A10AE05"	"insulin detemir"		"insulin detemir"	1001
"A10AE06"	"insulin degludec"	"insulin degludec"	"insulin degludec"	1001
"A10AE30"	"combinations"	"combinations"	"combinations"	1001
"A10AE56"	"degludek inzulin és liraglutid"		"degludek inzulin és liraglutid"	1001
"A10AF"	"inhalációs insulinok és analógok"	"insulins and analogues for inhalation"		1001
"A10AF01"	"insulin (human)"	"insulin (human)"	"insulin (human)"	1001
"A10B"	"orális antidiabetikumok"	"oral blood glucose lowering drugs"		1001
"A10BA"	"biguanidok"	"biguanides"		1001
"A10BA01"	"phenformin"	"phenformin"	"phenformin"	1001
"A10BA02"	"metformin"	"metformin"	"metformin"	1001
"A10BA03"	"buformin"	"buformin"	"buformin"	1001
"A10BB"	"szulfonamidok, karbamid-származékok"	"sulfonamides, urea derivatives"		1001
"A10BB01"	"glibenklamid"	"glibenclamide"	"glibenclamid"	1001
"A10BB02"	"chlorpropamide"	"chlorpropamide"	"chlorpropamide"	1001
"A10BB03"	"tolbutamide"	"tolbutamide"	"tolbutamide"	1001
"A10BB04"	"glibornuride"	"glibornuride"	"glibornuride"	1001
"A10BB05"	"tolazamide"	"tolazamide"	"tolazamide"	1001
"A10BB06"	"carbutamide"	"carbutamide"	"carbutamide"	1001
"A10BB07"	"glipizid"	"glipizide"	"glipizid"	1001
"A10BB08"	"gliquidon"	"gliquidone"	"gliquidon"	1001
"A10BB09"	"gliklazid"	"gliclazide"	"gliclazid"	1001
"A10BB10"	"metahexamide"	"metahexamide"	"metahexamide"	1001
"A10BB11"	"glisoxepide"	"glisoxepide"	"glisoxepide"	1001
"A10BB12"	"glimepiride"	"glimepiride"	"glimepirid"	1001
"A10BB31"	"acetohexamide"	"acetohexamide"	"acetohexamide"	1001
"A10BC"	"szulfonamidok, heterociklikus vegyületek"	"sulfonamides (heterocyclic)"		1001
"A10BC01"	"glymidine"	"glymidine"	"glymidine"	1001
"A10BD"	"biguanidok és szulfonamidok kombinációi"	"biguanides and sulfonamides in combination"		1001
"A10BD01"	"phenformin and sulfonamides"	"phenformin and sulfonamides"	"phenformin and sulfonamides"	1001
"A10BD02"	"metformin and sulfonamides"	"metformin and sulfonamides"	"metformin and sulfonamides"	1001
"A10BD03"	"metformin és roziglitazon"		"metformin és roziglitazon"	1001
"A10BD04"	"glimepirid és roziglitazon"		"glimepirid és roziglitazon"	1001
"A10BD05"	"metformin és pioglitazon"	"metformin and pioglitazone"	"metformin és pioglitazon"	1001
"A10BD06"	"glimepiride and pioglitazone"	"glimepiride and pioglitazone"	"glimepiride and pioglitazone"	1001
"A10BD07"	"metformin és sitagliptin"	"metformin and sitagliptin"	"metformin and sitagliptin"	1001
"A10BD08"	"metformin és vildagliptin"	"metformin and vildagliptin"	"metformin és vildagliptin"	1001
"A10BD09"	"pioglitazon és alogliptin"	"pioglitazone and alogliptin"	"pioglitazon és alogliptin"	1001
"A10BD10"	"saxagliptin / metformin hydrochloride"	"saxagliptin / metformin hydrochloride"	"saxagliptin / metformin hydrochloride"	1001
"A10BD11"	"metformin and linagliptin"		"metformin and linagliptin"	1001
"A10BD13"	"metformin és alogliptin"	"metformin and alogliptin"	"metformin és alogliptin"	1001
"A10BD15"	"metformin és dapagliflozin"	"metformin and dapagliflozin"	"metformin és dapagliflozin"	1001
"A10BD20"	"empagliflozin és metformin"		"empagliflozin és metformin"	1001
"A10BF"	"alfa-glükozidáz inhibítorok"	"alpha glucosidase inhibitors"		1001
